"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"325","004545","깨끗한나라우",34850,-2150,-5.81,NA,NA,NA,NA,0,0
"326","187790","나노",1575,0,0,18,87.5,1954,0.81,0,0
"327","286750","나노브릭",19300,350,1.85,NA,NA,3103,6.22,0,0
"328","151910","나노스",7760,10,0.13,NA,NA,336,23.1,0,0
"329","121600","나노신소재",27450,-150,-0.54,541,50.74,8591,3.2,120,0.44
"330","247660","나노씨엠에스",17900,150,0.85,NA,NA,750,23.87,0,0
"331","039860","나노엔텍",7320,-10,-0.14,219,33.42,1546,4.73,0,0
"332","091970","나노캠텍",2340,35,1.52,NA,NA,2292,1.02,0,0
"333","051490","나라엠앤디",10200,-100,-0.97,78,130.77,5596,1.82,60,0.59
"334","190510","나무가",10050,50,0.5,NA,NA,3231,3.11,0,0
"335","242040","나무기술",2920,-5,-0.17,131,22.29,592,4.93,0,0
"336","089600","나스미디어",38350,-400,-1.03,2156,17.79,14753,2.6,660,1.72
"337","293580","나우IB",13300,250,1.92,312,42.63,7428,1.79,150,1.13
"338","138610","나이벡",35650,350,0.99,NA,NA,2767,12.88,0,0
"339","130580","나이스디앤비",9980,-70,-0.7,686,14.55,3540,2.82,175,1.75
