"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"440","005500","삼진제약","KOSPI","의약품",24450,-750,-2.98,3.39855e+11
"441","004690","삼천리","KOSPI","전기가스업",83700,0,0,339405592500
"442","010960","삼호개발","KOSPI","건설업",4355,-155,-3.44,1.08875e+11
"443","004450","삼화왕관","KOSPI","기계",38400,-550,-1.41,82728153600
"444","009470","삼화전기","KOSPI","전기전자",23100,-1450,-5.91,152779242000
"445","011230","삼화전자","KOSPI","전기전자",3865,-145,-3.62,40419938100
"446","001820","삼화콘덴서","KOSPI","전기전자",74800,-2600,-3.36,7.77546e+11
"447","000390","삼화페인트","KOSPI","화학",10850,-750,-6.47,290939896450
"448","001290","상상인증권","KOSPI","증권",1120,-10,-0.88,107641449440
"449","041650","상신브레이크","KOSPI","운수장비",4235,-305,-6.72,90931590750
"450","075180","새론오토모티브","KOSPI","운수장비",6480,-20,-0.31,1.24416e+11
"451","007540","샘표","KOSPI","기타금융",47850,-1500,-3.04,137607030000
"452","248170","샘표식품","KOSPI","음식료품",49850,-1850,-3.58,227729057100
"453","007860","서연","KOSPI","기타금융",7560,-460,-5.74,177507620640
"454","200880","서연이화","KOSPI","운수장비",7160,-500,-6.53,193523608920
"455","017390","서울가스","KOSPI","전기가스업",89000,200,0.23,4.45e+11
"456","004410","서울식품","KOSPI","음식료품",191,-9,-4.5,69158293828
